trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",25,0,-74.05465978723639,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-87.11225079252762,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,14,-8.647238758708372,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.01, 'e': 0.9704455335485082}",30,0,-162.47619949282893,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,0,-133.29697110937838,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.951229424500714}",25,0,-203.23624596121653,"{0: 9, 1: 6, 2: 6, 3: 2, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9417645335842487}",25,0,-148.0401266450704,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,0,-186.9883977626245,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-118.87611077202226,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-89.00889974881511,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,3,-129.8835427813728,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 3}",1
12,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,0,-35.703696324003346,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-90.72410321418079,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,5,-68.30334263931672,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.01, 'e': 0.8693582353988059}",25,0,-280.9926059470501,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 5}",0
16,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,11,-26.295193149671288,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.01, 'e': 0.8521437889662113}",35,0,-97.4450343568127,"{0: 24, 1: 3, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.8436648165963837}",30,0,-96.92118726662284,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.835270211411272}",30,10,-84.98562843264084,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",1
20,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,0,-53.32293127786842,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,12,-51.96113365312373,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
22,False,"{'a': 0.01, 'e': 0.8105842459701871}",20,0,-163.92479357957617,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
23,False,"{'a': 0.01, 'e': 0.8025187979624785}",20,0,-78.04473976794664,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.794533602503334}",30,0,-58.903306540736665,"{0: 19, 1: 7, 2: 3, 3: 1, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.7866278610665535}",30,1,-193.51559225254832,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 3}",1
26,False,"{'a': 0.01, 'e': 0.7788007830714049}",20,0,-72.30650420407234,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.7710515858035663}",25,0,-146.99876201868173,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
