trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",20,0,-56.14641551116632,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,7,-60.11425878026342,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-32.242357148436554,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-46.05461352199097,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-97.82794548516756,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-29.10567099736773,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-203.34154428642464,"{0: 7, 1: 2, 2: 6, 3: 3, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,0,-156.60319705710353,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-99.32908452810823,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-213.8104600137702,"{0: 12, 1: 1, 2: 6, 3: 4, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-116.09584276310166,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.8958341352965282}",30,0,-97.75264521421218,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.8869204367171575}",25,10,-12.154312957428093,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,0,-109.69603364207401,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,9,-79.70815548031779,"{0: 5, 1: 2, 2: 2, 3: 1, 4: 1}",1
