trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-100,-778.1881558799446,"{0: 61, 1: 14, 2: 28, 3: 9, 4: 8}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-79,-369.0700017147022,"{0: 69, 1: 5, 2: 18, 3: 1, 4: 6}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,-11,-104.19688101176877,"{0: 22, 1: 3, 2: 10, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,-41,-514.622100249894,"{0: 39, 1: 12, 2: 15, 3: 2, 4: 8}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,-67,-461.62142554635113,"{0: 56, 1: 11, 2: 17, 3: 1, 4: 7}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,-18,-169.6301961067359,"{0: 22, 1: 6, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-100,-984.973409963165,"{0: 65, 1: 14, 2: 23, 3: 7, 4: 16}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-100,-792.6390290483723,"{0: 66, 1: 11, 2: 32, 3: 7, 4: 9}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-733.9033656762875,"{0: 68, 1: 10, 2: 24, 3: 9, 4: 9}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,3,-106.36761634190258,"{0: 9, 1: 0, 2: 6, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,-100,-443.1610833804906,"{0: 75, 1: 19, 2: 17, 3: 4, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-100,-839.7289814923207,"{0: 65, 1: 11, 2: 30, 3: 9, 4: 10}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-100,-617.4292142182098,"{0: 74, 1: 10, 2: 24, 3: 3, 4: 9}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,-100,-666.475400281441,"{0: 70, 1: 15, 2: 32, 3: 7, 4: 6}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,-100,-767.2293072447518,"{0: 60, 1: 20, 2: 26, 3: 4, 4: 10}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,-47,-218.85592069515974,"{0: 48, 1: 6, 2: 14, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,-100,-705.2118214951677,"{0: 74, 1: 11, 2: 14, 3: 11, 4: 10}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,-38,-370.07494744182134,"{0: 36, 1: 5, 2: 16, 3: 0, 4: 6}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-3,-45.99196106117566,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-100,-567.4806659262009,"{0: 73, 1: 12, 2: 24, 3: 4, 4: 7}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,-100,-550.6225154482039,"{0: 81, 1: 12, 2: 19, 3: 5, 4: 8}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,-100,-576.3351680811572,"{0: 73, 1: 12, 2: 24, 3: 3, 4: 8}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,-100,-567.6373193631771,"{0: 75, 1: 18, 2: 27, 3: 5, 4: 5}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-69,-387.6486469975786,"{0: 61, 1: 6, 2: 14, 3: 1, 4: 7}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,7,-79.30123925205018,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,-25,-285.69085680933966,"{0: 28, 1: 5, 2: 12, 3: 1, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,-85,-587.7296630985987,"{0: 64, 1: 13, 2: 28, 3: 3, 4: 7}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,9,-45.22994878923273,"{0: 12, 1: 5, 2: 4, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,-100,-605.6952612443039,"{0: 72, 1: 13, 2: 29, 3: 5, 4: 6}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,-53,-275.1337444937657,"{0: 45, 1: 10, 2: 13, 3: 2, 4: 3}",0
